acousticness,speechiness,valence,tempo,duration_ms,release_date,year,month
0.000828,0.0764,0.516,153.35,128160,1981-01-01,1981,1
0.7979999999999999,0.0368,0.5,107.643,343453,1981-12-01,1981,12
0.0125,0.0963,0.306,127.674,202813,1981-11-08,1981,11
0.6,0.0365,0.076,145.44799999999995,1242507,1981-04-27,1981,4
0.0154,0.0427,0.813,146.122,195280,1981-11-13,1981,11
0.483,0.0398,0.411,113.117,186973,1981-01-01,1981,1
0.31,0.0286,0.342,85.929,297347,1981-01-01,1981,1
0.00082,0.089,0.7340000000000001,112.159,356773,1981-01-01,1981,1
0.914,0.0363,0.312,98.253,153107,1981-01-01,1981,1
0.604,0.0258,0.473,99.67,451173,1981-08-26,1981,8
0.375,0.0302,0.923,106.466,215067,1981-01-01,1981,1
0.0494,0.0301,0.953,115.719,186227,1981-01-01,1981,1
0.0238,0.0642,0.351,128.502,185560,1981-10-08,1981,10
0.382,0.0491,0.482,100.947,180245,1981-01-01,1981,1
0.109,0.108,0.265,129.535,271467,1981-11-16,1981,11
0.00065,0.0578,0.96,134.464,135707,1981-01-01,1981,1
0.027,0.0307,0.7509999999999999,106.233,224120,1981-01-01,1981,1
0.836,0.0445,0.847,110.228,230973,1981-07-31,1981,7
0.0495,0.074,0.963,127.915,403713,1981-11-02,1981,11
0.324,0.0405,0.4920000000000001,121.233,243267,1981-10-28,1981,10
0.0499,0.309,0.537,129.431,371480,1981-01-01,1981,1
0.461,0.0378,0.922,121.773,191027,1981-01-01,1981,1
0.3720000000000001,0.0376,0.753,102.895,237865,1981-03-28,1981,3
0.41,0.0394,0.56,139.665,285613,1981-08-26,1981,8
0.00403,0.0447,0.898,122.261,300827,1981-06-01,1981,6
0.319,0.0533,0.439,161.535,437173,1981-09-19,1981,9
0.7,0.0607,0.913,95.998,346960,1981-01-01,1981,1
0.224,0.0484,0.275,138.563,91773,1981-08-01,1981,8
0.4,0.0259,0.48,81.607,175707,1981-11-19,1981,11
0.82,0.0539,0.5589999999999999,201.913,201347,1981-01-01,1981,1
0.6559999999999999,0.0491,0.7490000000000001,159.23,404067,1981-08-26,1981,8
0.041,0.0621,0.847,189.319,208360,1981-08-26,1981,8
0.349,0.18,0.813,129.02700000000002,156133,1981-04-07,1981,4
0.517,0.119,0.517,151.635,150560,1981-07-20,1981,7
0.304,0.0267,0.297,110.468,342000,1981-05-05,1981,5
0.0681,0.0434,0.52,114.979,140040,1982-11-30,1982,11
