,coefficient,p_value,significant_05
ar.L1,0.3727103489100164,0.370653169538139,False
ar.L2,0.5334780619396658,0.17884574921879348,False
ma.L1,-0.27639717636982625,0.48224371515635833,False
ma.L2,-0.5389143595148824,0.10875657548298166,False
ar.S.L12,-0.09754557367674449,0.0461012738881673,True
ma.S.L12,-0.5590326986710773,1.4176771233050524e-55,True
sigma2,616312836.2714314,0.0,True
