,coefficient,p_value,significant_05
ar.L1,0.05275478535411538,0.2823126994533124,False
ar.L2,-0.11177289808032538,0.013733720144843536,True
ma.L1,-0.9629686371395223,0.0,True
ar.S.L12,0.9499531441206692,0.0,True
ma.S.L12,-1.0153193134425558,2.3753813871022097e-13,True
sigma2,0.00406389403858206,2.4496953049687377e-11,True
