,coefficient,p_value,significant_05
ar.L1,-0.6968064703180458,0.002733653402620715,True
ma.L1,-0.3740088104295403,0.1104281281480673,False
ma.L2,-0.739078489092561,0.003223015474408549,True
ma.S.L12,-0.9593353552673629,8.623588512734825e-187,True
sigma2,15.58532201526751,4.539216179040815e-43,True
